upazila,district
Khagrachhari Sadar,Khagrachhari
Khaliajuri,Netrakona
Khalishpur,Khulna
Khan Jahan Ali,Khulna
Khansama,Dinajpur
Khetlal,Joypurhat
Khilgaon,Dhaka
Khilkhet,Dhaka
Khoksa,Kushtia
Khulna Sadar,Khulna
Khulshi,Chittagong
Kishoreganj,Nilphamari
Kishoreganj Sadar,Kishoreganj
Kotali Para,Gopalganj
Kotchandpur,Jhenaidah
Kotwali,Chittagong
Kotwali,Dhaka
Kotwali,Jessore
Koyra,Khulna
Kulaura,Maulvibazar
Kuliar Char,Kishoreganj
Kumarkhali,Kushtia
Kurigram Sadar,Kurigram
Kushtia Sadar,Kushtia
Kutubdia,Cox's Bazar
Lakhai,Habiganj
Laksam,Comilla
Lakshmichhari,Khagrachhari
Lakshmipur Sadar,Lakshmipur
Lalbagh,Dhaka
Lalmohan,Bhola
Lalmonirhat Sadar,Lalmonirhat
Lalpur,Natore
Lama,Bandarban
Langadu,Rangamati
Lohagara,Chittagong
Lohagara,Narail
Lohajang,Munshiganj
Madan,Netrakona
Madarganj,Jamalpur
Madaripur Sadar,Madaripur
Madhabpur,Habiganj
Madhukhali,Faridpur
Madhupur,Tangail
Magura Sadar,Magura
Mahadebpur,Naogaon
Mahalchhari,Khagrachhari
Maheshkhali,Cox's Bazar
Maheshpur,Jhenaidah
Manda,Naogaon
Manikchhari,Khagrachhari
Manikganj Sadar,Manikganj
Manirampur,Jessore
Manohardi,Narsingdi
Manoharganj,Comilla
Manpura,Bhola
Mathbaria,Pirojpur
Matihar,Rajshahi
Matiranga,Khagrachhari
Matlab Dakshin,Chandpur
Matlab Uttar,Chandpur
Maulvi Bazar Sadar,Maulvibazar
Meghna,Comilla
Mehendiganj,
Meherpur Sadar,Meherpur
Melandaha,Jamalpur
Mirpur,Dhaka
Mirpur,Kushtia
Mirsharai,Chittagong
Mirzaganj,Patuakhali
Mirzapur,Tangail
Mitha Pukur,Rangpur
Mithamain,Kishoreganj
Mohammadpur,Dhaka
Mohammadpur,Magura
Mohanganj,Netrakona
Mohanpur,Rajshahi
Mollahat,Bagerhat
Mongla,Bagerhat
Morrelganj,Bagerhat
Motijheel,Dhaka
Mujib Nagar,Meherpur
Muksudpur,Gopalganj
Muktagachha,Mymensingh
Muladi,Barisal
Munshiganj Sadar,Munshiganj
Muradnagar,Comilla
Mymensingh Sadar,Mymensingh
Nabiganj,Habiganj
Nabinagar,Brahamanbaria
Nachole,Nawabganj
Nagarkanda,Faridpur
Nagarpur,Tangail
Nageshwari,Kurigram
Naikhongchhari,Cox's Bazar
Nakla,Sherpur
Nalchity,Jhalokati
Nalitabari,Sherpur
Nandail,Mymensingh
Nandigram,Bogra
Nangalkot,Comilla
Naniarchar,Rangamati
Naogaon Sadar,Naogaon
Narail Sadar,Narail
Narayanganj Sadar,Narayanganj
Naria,Shariatpur
Narsingdi Sadar,Narsingdi
Nasirnagar,Brahamanbaria
Natore Sadar,Natore
Nawabganj,Dhaka
Nawabganj,Dinajpur
Nawabganj Sadar,Nawabganj
Nazirpur,Pirojpur
Nesarabad (Swarupkati),Pirojpur
Netrokona Sadar,Netrakona
New Market,Dhaka
Niamatpur,Naogaon
Nikli,Kishoreganj
Nilphamari Sadar,Nilphamari
Noakhali Sadar (Sudharam),Noakhali
Paba,Rajshahi
Pabna Sadar,Pabna
Pahartali,Chittagong
Paikgachha,Khulna
Pakundia,Kishoreganj
Palash,Narsingdi
Palashbari,Gaibandha
Pallabi,Dhaka
Paltan,Dhaka
Panchagarh Sadar,Panchagarh
Panchbibi,Joypurhat
Panchhari,Khagrachhari
Panchlaish,Chittagong
Pangsha,Rajbari
Parbatipur,Dinajpur
Parshuram,Feni
Patenga,Chittagong
Patgram,Lalmonirhat
Patharghata,Barguna
Patiya,Chittagong
Patnitala,Naogaon
Patuakhali Sadar,Patuakhali
Pekua,Cox's Bazar
Phulbari,Kurigram
Phulpur,Mymensingh
Phultala,Khulna
Pirgachha,Rangpur
Pirganj,Rangpur
Pirganj,Thakurgaon
Pirojpur Sadar,Pirojpur
Porsha,Naogaon
Purbadhala,Netrakona
Puthia,Rajshahi
Rajapur,Jhalokati
Rajarhat,Kurigram
Rajasthali,Rangamati
Rajbari Sadar,Rajbari
Rajnagar,Maulvibazar
Rajoir,Madaripur
Rajpara,Rajshahi
Ramganj,Lakshmipur
Ramgarh,Khagrachhari
Ramgati,Lakshmipur
Ramna,Dhaka
Rampal,Bagerhat
Rampura,Dhaka
Ramu,Cox's Bazar
Rangamati Sadar,Rangamati
Rangpur Sadar,Rangpur
Rangunia,Chittagong
Raninagar,Naogaon
Ranisankail,Thakurgaon
Raozan,Chittagong
Raumari,Kurigram
Rowangchhari,Bandarban
Royganj,Sirajganj
Roypur,Lakshmipur
Roypura,Narsingdi
Ruma,Bandarban
Rupganj,Narayanganj
Rupsa,Khulna
Sabujbagh,Dhaka
Sadarpur,Faridpur
Sadullapur,Gaibandha
Saghatta,Gaibandha
Saidpur,Nilphamari
Sakhipur,Tangail
Saltha,Faridpur
Sandwip,Chittagong
Santhia,Pabna
Sapahar,Naogaon
Sarail,Brahamanbaria
Sarankhola,Bagerhat
Sariakandi,Bogra
Sarishabari,Jamalpur
Satkania,Chittagong
Satkhira Sadar,Satkhira
Saturia,Manikganj
Savar,Dhaka
Senbagh,Noakhali
Serajdikhan,Munshiganj
Shah Ali,Dhaka
Shah Makhdum,Rajshahi
Shahbagh,Dhaka
Shahjadpur,Sirajganj
Shahrasti,Chandpur
Shailkupa,Jhenaidah
Shajahanpur,Bogra
Shalikha,Magura
Shariatpur Sadar,Shariatpur
Sharsha,Jessore
Sher-e-bangla Nagar,Dhaka
Sherpur,Bogra
Sherpur Sadar,Sherpur
Shib Char,Madaripur
Shibalaya,Manikganj
Shibganj,Bogra
Shibganj,Nawabganj
Shibpur,Narsingdi
Shyamnagar,Satkhira
Shyampur,Dhaka
Singair,Manikganj
Singra,Natore
Sirajganj Sadar,Sirajganj
Sitakunda,Chittagong
Sonadanga,Khulna
Sonagazi,Feni
Sonaimuri,Noakhali
Sonargaon,Narayanganj
Sonatola,Bogra
Sreebardi,Sherpur
Sreemangal,Maulvibazar
Sreenagar,Munshiganj
Sreepur,Gazipur
Sreepur,Magura
Subarnachar,Noakhali
Sujanagar,Pabna
Sulla,Sunamganj
Sunamganj Sadar,Sunamganj
Sundarganj,Gaibandha
Sutrapur,Dhaka
Sylhet Sadar,Sylhet
Tahirpur,Sunamganj
Tala,Satkhira
Tangail Sadar,Tangail
Tanore,Rajshahi
Taraganj,Rangpur
Tarail,Kishoreganj
Tarash,Sirajganj
Tazumuddin,
Tejgaon,Dhaka
Tejgaon Ind. Area,Dhaka
Teknaf,Cox's Bazar
Tentulia,Panchagarh
Terokhada,Khulna
Thakurgaon Sadar,Thakurgaon
Thanchi,Bandarban
Titas,Comilla
Tongibari,Munshiganj
Trishal,Mymensingh
Tungi Para,Gopalganj
Turag,Dhaka
Ukhia,Cox's Bazar
Ulipur,Kurigram
Ullah Para,Sirajganj
Uttar Khan,Dhaka
Uttara,Dhaka
Wazirpur,Barisal
Zakiganj,Sylhet
Zanjira,Shariatpur
Zianagar,Bagerhat
